IP,Port,Status,LatencyMS,Protocol,Error
192.168.1.188,8087,DEAD,5793.69,http,
192.168.1.158,8057,DEAD,5793.91,http,
192.168.1.187,8086,DEAD,5794.13,http,
192.168.1.195,8094,DEAD,5792.31,http,
192.168.1.203,8002,DEAD,5794.58,http,
192.168.1.181,8080,DEAD,5794.79,http,
192.168.1.180,8079,DEAD,5795.01,http,
192.168.1.179,8078,DEAD,5795.23,http,
192.168.1.178,8077,DEAD,5795.45,http,
192.168.1.177,8076,DEAD,5795.67,http,
192.168.1.176,8075,DEAD,5795.89,http,
192.168.1.134,8033,DEAD,5796.11,http,
192.168.1.174,8073,DEAD,5796.33,http,
192.168.1.173,8072,DEAD,5796.55,http,
192.168.1.172,8071,DEAD,5796.78,http,
192.168.1.171,8070,DEAD,5797.0,http,
192.168.1.170,8069,DEAD,5797.21,http,
192.168.1.169,8068,DEAD,5797.43,http,
192.168.1.168,8067,DEAD,5797.64,http,
192.168.1.113,8012,DEAD,5802.86,http,
192.168.1.129,8028,DEAD,5801.43,http,
192.168.1.161,8060,DEAD,5798.49,http,
192.168.1.131,8030,DEAD,5798.7,http,
192.168.1.110,8009,DEAD,5801.92,http,
192.168.1.160,8059,DEAD,5799.21,http,
192.168.1.159,8058,DEAD,5799.23,http,
192.168.1.154,8053,DEAD,5800.12,http,
192.168.1.156,8055,DEAD,5799.85,http,
192.168.1.157,8056,DEAD,5800.08,http,
192.168.1.186,8085,DEAD,5800.32,http,
192.168.1.155,8054,DEAD,5800.54,http,
192.168.1.132,8031,DEAD,5804.66,http,
192.168.1.185,8084,DEAD,5800.97,http,
192.168.1.199,8098,DEAD,5801.19,http,
192.168.1.152,8051,DEAD,5796.64,http,
192.168.1.148,8047,DEAD,5801.63,http,
192.168.1.147,8046,DEAD,5801.85,http,
192.168.1.146,8045,DEAD,5802.06,http,
192.168.1.145,8044,DEAD,5802.28,http,
192.168.1.144,8043,DEAD,5802.49,http,
192.168.1.143,8042,DEAD,5802.7,http,
192.168.1.182,8081,DEAD,5802.92,http,
192.168.1.133,8032,DEAD,5799.11,http,
192.168.1.140,8039,DEAD,5803.35,http,
192.168.1.139,8038,DEAD,5803.57,http,
192.168.1.138,8037,DEAD,5803.78,http,
192.168.1.137,8036,DEAD,5803.99,http,
192.168.1.136,8035,DEAD,5804.21,http,
192.168.1.135,8034,DEAD,5804.42,http,
192.168.1.122,8021,DEAD,5804.63,http,
192.168.1.150,8049,DEAD,5806.48,http,
192.168.1.109,8008,DEAD,5805.36,http,
192.168.1.162,8061,DEAD,5802.65,http,
192.168.1.115,8014,DEAD,5805.69,http,
192.168.1.112,8011,DEAD,5807.19,http,
192.168.1.125,8024,DEAD,5806.11,http,
192.168.1.151,8050,DEAD,5808.53,http,
192.168.1.149,8048,DEAD,5804.03,http,
192.168.1.123,8022,DEAD,5806.66,http,
192.168.1.142,8041,DEAD,5806.87,http,
192.168.1.121,8020,DEAD,5807.1,http,
192.168.1.141,8040,DEAD,5805.3,http,
192.168.1.119,8018,DEAD,5807.54,http,
192.168.1.114,8013,DEAD,5807.76,http,
192.168.1.128,8027,DEAD,5807.98,http,
192.168.1.197,8096,DEAD,5810.06,http,
192.168.1.127,8026,DEAD,5808.8,http,
192.168.1.124,8023,DEAD,5807.62,http,
192.168.1.184,8083,DEAD,5809.21,http,
192.168.1.201,8000,DEAD,5809.47,http,
192.168.1.111,8010,DEAD,5809.74,http,
192.168.1.120,8019,DEAD,5808.54,http,
192.168.1.205,8004,DEAD,5799.24,http,
192.168.1.206,8005,DEAD,5802.34,http,
192.168.1.207,8006,DEAD,5800.24,http,
192.168.1.208,8007,DEAD,5798.96,http,
192.168.1.40,8089,DEAD,5798.54,http,
192.168.1.217,8016,DEAD,5796.28,http,
192.168.1.215,8014,DEAD,5793.13,http,
192.168.1.218,8017,DEAD,5793.4,http,
192.168.1.4,8053,DEAD,5790.07,http,
192.168.1.1,8050,DEAD,5797.59,http,
192.168.1.231,8030,DEAD,5797.24,http,
192.168.1.41,8090,DEAD,5794.17,http,
192.168.1.53,8002,DEAD,5790.82,http,
192.168.1.234,8033,DEAD,5791.07,http,
192.168.1.42,8091,DEAD,5791.31,http,
192.168.1.17,8066,DEAD,5794.89,http,
192.168.1.219,8018,DEAD,5791.76,http,
192.168.1.14,8063,DEAD,5791.98,http,
192.168.1.48,8097,DEAD,5792.2,http,
